Año,Estrategia %,Mercado %,Diferencia,Max DD Estrategia,Max DD Mercado
2015,0.0,0.22627762372427185,-0.22627762372427185,0.0,-0.42631169076939923
2016,0.0,0.9880286937088789,-0.9880286937088789,0.0,-0.3102907662773182
2017,0.9227782525060222,8.380281153808236,-7.457502901302213,-0.15744596266279343,-0.3794083142470993
2018,-0.09141068120193518,-0.812899602681904,0.7214889214799688,-0.15465759124753986,-0.8653766740081767
2019,0.8143758978647391,0.5320367032577722,0.2823391946069669,-0.18102888584145216,-0.5512259600148328
2020,1.679513364535989,1.8560308994183243,-0.17651753488233535,-0.21406715067887805,-0.5965927632200654
2021,0.37713605705451547,0.15546756425636787,0.2216684927981476,-0.13540956822276573,-0.582208360674206
2022,-0.22369085400408706,-0.7109098810306476,0.4872190270265605,-0.23388344579790699,-0.7307154940272764
2023,0.7792539637649123,1.3266566973856215,-0.5474027336207092,-0.12513796441707237,-0.20795800502729445
2024,0.4390523309790866,0.9202456562601298,-0.4811933252810432,-0.250871880634821,-0.3152526505364015
2025,0.0501961420442516,-0.14265021591508487,0.19284635795933647,-0.09960144342279964,-0.33119719727988206
