Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2015-01-06,4.17958802770686,7.220639122347123,0.5614646831516084,7.356156443424116,-9.353322724112443,,,1,,1.0,2.0
2015-01-07,2.80729729527458,6.968512031591234,0.3848516171588019,7.269462365130417,-6.794887357406765,,,1,-0.2521270907558888,1.0,2.0
2015-01-08,-3.804603850823263,6.662256139602407,-0.5898989680369641,7.199026989297477,0.8032905642347821,,,1,-0.30625589198882697,1.0,2.0
2015-01-09,2.4607444672523293,6.443648485337698,0.3624173947166854,6.961905658420538,9.459930005611472,,,1,-0.21860765426470952,1.0,2.0
2015-01-10,-5.525782685593139,6.156674081384717,-0.9179041770956028,6.690345972052636,0.1172432538173673,,,1,-0.28697440395298024,1.0,2.0
2015-01-11,-3.3811658286022173,6.120464216643053,-0.5729336656838835,6.470310990911822,-7.44351060249171,,,1,-0.03620986474166443,1.0,2.0
2015-01-12,0.800814975810038,5.915484685970311,0.1141682957417941,6.259705521787637,-9.449992921956252,,,1,-0.204979530672742,1.0,2.0
2015-01-13,-17.03057269491355,5.615889844592969,-3.054908009308205,6.050432262785749,-22.675961766046537,,,1,-0.29959484137734194,1.0,2.0
2015-01-14,-23.755771549530547,7.707912752534285,-3.0982740058136704,6.303285116225067,-48.89247778282942,,,1,2.092022907941316,1.0,2.0
2015-01-15,16.400235279402953,10.650264542173456,1.528110503192773,7.202003208382815,-26.96645981783332,,,1,2.9423517896391713,1.0,2.0
2015-01-16,-0.83600518607998,11.382846244238676,-0.0844656368166915,8.254479613901939,-24.421299175311084,,,1,0.7325817020652199,1.0,2.0
2015-01-17,-4.339384068730556,10.779545956313603,-0.4141953898198853,9.227291867970598,-29.56149821985168,,,1,-0.6033002879250731,1.0,2.0
2015-01-18,5.411005929718193,10.307274410844142,0.5127981994377885,10.16556878122083,-7.119919595219937,,,1,-0.4722715454694608,1.0,2.0
2015-01-19,2.1270735850477784,9.90826366681508,0.2020151543832558,10.605638964076991,18.76292553935839,,,1,-0.3990107440290629,1.0,2.0
2015-01-20,-1.664134942574513,9.40403624275376,-0.190300108071106,10.356393304193052,0.6985553173809222,,,1,-0.5042274240613196,1.0,2.0
2015-01-21,7.114626123199219,8.924093549622013,0.7831800410439586,9.864642765269718,8.649186626660121,,,1,-0.479942693131747,1.0,2.0
2015-01-22,2.828326756390531,8.750965716555397,0.3088656353150844,9.45892671731808,15.816897451781209,,,1,-0.17312783306661572,1.0,2.0
2015-01-23,-0.2260455630802127,8.334538743827535,-0.0421738676380447,9.064379583914755,10.179845958982805,,,1,-0.4164269727278622,1.0,2.0
2015-01-24,6.229262485473264,7.895733070983216,0.7730515026120383,8.661873464748385,14.282034859408288,,,1,-0.43880567284431926,1.0,2.0
2015-01-25,2.341180238004448,7.738452768021239,0.28632675467565,8.32875676980188,18.28735003998725,,,1,-0.15728030296197648,1.0,2.0
2015-01-26,7.497944406522539,7.367190420823412,1.0007193807503634,8.01737614404216,18.67066832331057,,,1,-0.3712623471978276,1.0,2.0
2015-01-27,-3.724435725045616,7.38024504332521,-0.5216479768857583,7.743232009396124,12.11790584187442,,,1,0.013054622501798008,1.0,2.0
2015-01-28,-11.900073718364457,7.104569223052244,-1.692647015116873,7.497238105241064,0.4438776865901772,,,1,-0.27567582027296567,1.0,2.0
2015-01-29,-0.1720020633391605,7.7832026733796145,-0.0382177166068996,7.474732025720344,-5.957386862222247,,,1,0.6786334503273705,1.0,2.0
2015-01-30,-3.0823974429389445,7.374885210520906,-0.4349697008285355,7.402018514220278,-11.38096454316564,,,1,-0.40831746285870807,1.0,2.0
2015-01-31,-4.038043738172892,7.065882792610815,-0.5892395941315384,7.3417569885777585,-22.91695268786107,,,1,-0.309002417910091,1.0,2.0
2015-02-01,4.279332203631991,6.832048221202318,0.6079989336162587,7.232117624153179,-14.913184759183462,,,1,-0.23383457140849728,1.0,2.0
2015-02-02,4.840574994570179,6.615214117432283,0.7127691923710919,7.134246603029188,1.8274639537511737,,,1,-0.21683410377003476,1.0,2.0
2015-02-03,-4.710245086441045,6.455768190200034,-0.7490509440081575,6.868759706393272,-2.7107790693507106,,,1,-0.15944592723224904,1.0,2.0
2015-02-04,-0.1827744845303236,6.319316961204584,-0.0487756283074135,6.657646056530007,0.1888438890579102,,,1,-0.13645122899545026,1.0,2.0
2015-02-05,-4.389350799334935,5.9933614565277,-0.7533009652110565,6.443141789313384,-0.1624631721041325,,,1,-0.32595550467688383,1.0,2.0
2015-02-06,2.346618327569683,5.870911338471476,0.3783337933053933,6.250914412767216,-2.095177048166441,,,1,-0.12245011805622408,1.0,2.0
2015-02-07,2.439119754380581,5.616047511882636,0.4119740046285432,6.051081091657286,-4.49663228835604,,,1,-0.2548638265888403,1.0,2.0
2015-02-08,-1.9248477480192427,5.381918880868358,-0.3809611337758694,5.836311229790951,-1.7112349499342372,,,1,-0.23412863101427828,1.0,2.0
2015-02-09,-1.4890187808608069,5.151730359224201,-0.3133845987681031,5.602793909394874,-3.0174792462647204,,,1,-0.23018852164415637,1.0,2.0
2015-02-10,-0.1231943361006848,4.9196333712521145,-0.0505420806923922,5.388048292339756,1.2486772169695293,,,1,-0.23209698797208667,1.0,2.0
2015-02-11,-0.297936986906766,4.673695666553641,-0.0905902283417391,5.14860515795619,-1.3958780975069196,,,1,-0.24593770469847342,1.0,2.0
2015-02-12,1.1697676548013014,4.443539294550415,0.2350183974643656,4.914103514489746,-2.665230197086199,,,1,-0.23015637200322647,1.0,2.0
