Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime
2015-01-06,4.17958802770686,7.220641237291317,0.5614685087309771,7.356155042939044,-9.353322724112445,,,1
2015-01-07,2.80729729527458,6.9685218441649,0.38485520963053904,7.269463217640245,-6.794887357406765,,,1
2015-01-08,-3.8046038508232627,6.662273745102716,-0.5898930847498789,7.199029882951026,0.8032905642347821,,,1
2015-01-09,2.4607444672523293,6.443668469482678,0.36242074187847073,6.961914212441236,9.459930005611472,,,1
2015-01-10,-5.525782685593139,6.156700891454395,-0.9178955004230624,6.690361237499201,0.11724325381736733,,,1
2015-01-11,-3.3811658286022173,6.120487697146565,-0.5729267604541601,6.470330529470251,-7.44351060249171,,,1
2015-01-12,0.800814975810038,5.915510039986492,0.11417267676348554,6.259728168634569,-9.449992921956252,,,1
2015-01-13,-17.03057269491355,5.615921450302917,-3.054885686499707,6.050457709674609,-22.675961766046537,,,1
2015-01-14,-23.755771549530547,7.707894052000763,-3.0982777848970477,6.303302826178227,-48.89247778282942,,,1
2015-01-15,16.400235279402953,10.650199184920496,1.5281225859440053,7.2020024848714455,-26.966459817833318,,,1
2015-01-16,-0.83600518607998,11.382783449612953,-0.08446357171419072,8.254461635364724,-24.421299175311084,,,1
2015-01-17,-4.339384068730556,10.779498768694669,-0.4141945302522377,9.227259381106359,-29.56149821985168,,,1
2015-01-18,5.411005929718193,10.307238833290436,0.5128027646476241,10.165522857703863,-7.119919595219937,,,1
2015-01-19,2.1270735850477784,9.908240680037958,0.20201853079295642,10.605592183311302,18.76292553935839,,,1
2015-01-20,-1.6641349425745133,9.404025839445966,-0.1902972549470846,10.356357514216395,0.6985553173809222,,,1
2015-01-21,7.114626123199219,8.924093338617384,0.7831832879684508,9.864619492017281,8.649186626660121,,,1
2015-01-22,2.828326756390531,8.750972243512813,0.3088686972205532,9.45891418698091,15.816897451781209,,,1
2015-01-23,-0.22604556308021273,8.334554905282992,-0.042170329093510935,9.06437740137942,10.179845958982803,,,1
2015-01-24,6.229262485473264,7.895757755075787,0.7730527347328894,8.661880816386988,14.282034859408288,,,1
2015-01-25,2.3411802380044477,7.738481827148496,0.2863294025072887,8.328772013927495,18.28735003998725,,,1
2015-01-26,7.497944406522539,7.367226968003612,1.0007183270473956,8.01739873980474,18.67066832331057,,,1
2015-01-27,-3.724435725045616,7.3802816975902275,-0.5216414823876113,7.743260630620223,12.117905841874421,,,1
2015-01-28,-11.900073718364457,7.104608157608681,-1.6926336839012373,7.497271281085361,0.44387768659017723,,,1
2015-01-29,-0.17200206333916057,7.783218837321396,-0.03821393560675309,7.474763497534482,-5.957386862222247,,,1
2015-01-30,-3.0823974429389445,7.374909402437362,-0.4349643674269796,7.402049012592255,-11.38096454316564,,,1
2015-01-31,-4.038043738172892,7.0659111735360405,-0.5892331499849363,7.341785853698741,-22.91695268786107,,,1
2015-02-01,4.279332203631991,6.832078391194883,0.6080004656945974,7.232145192419672,-14.913184759183462,,,1
2015-02-02,4.840574994570179,6.615249377779222,0.7127697483763757,7.13427343645378,1.8274639537511739,,,1
2015-02-03,-4.710245086441045,6.455807143948217,-0.7490419615613194,6.868791097779145,-2.7107790693507106,,,1
2015-02-04,-0.18277448453032363,6.319354244747812,-0.048770781430710876,6.657680066241236,0.18884388905791027,,,1
2015-02-05,-4.3893507993349345,5.993404223968651,-0.7532907827913689,6.443178676327757,-0.16246317210413252,,,1
2015-02-06,2.346618327569683,5.870951912549384,0.3783360859587848,6.250953380598657,-2.095177048166441,,,1
2015-02-07,2.439119754380581,5.6160931313359175,0.41197578817691516,6.051122131309996,-4.4966322883560395,,,1
2015-02-08,-1.9248477480192427,5.381968917217368,-0.38095223879568585,5.836354485963826,-1.7112349499342372,,,1
2015-02-09,-1.4890187808608069,5.151782061258158,-0.313375861359717,5.602840049265896,-3.0174792462647204,,,1
2015-02-10,-0.12319433610068486,4.91968708210081,-0.050535672711530644,5.388096620892329,1.2486772169695293,,,1
2015-02-11,-0.29793698690676607,4.673752729122861,-0.09058295797127608,5.148656784207023,-1.3958780975069196,,,1
2015-02-12,1.1697676548013014,4.443599140065073,0.23502171590178605,4.914157985952854,-2.665230197086199,,,1
2015-02-13,5.978710744575189,4.238432415265667,1.3810024110257744,4.685450685562514,5.238328295508232,,,1
2015-02-14,8.892349379425557,4.457096079443381,1.9669587244789433,4.546513489199558,15.619696455794596,,,1
2015-02-15,-9.148384584019986,5.104418360183361,-1.8168201134301927,4.583459744816068,6.594506207875295,,,1
2015-02-16,-0.4190582960673872,5.705772793187992,-0.09542680298117412,4.789863757629094,6.473384898714674,,,1
2015-02-17,4.091862847771832,5.416747165676544,0.7322545000405096,4.9844933627513885,9.395480091685204,,,1
2015-02-18,-3.0356363592726865,5.300150759226138,-0.5964097745509662,5.196837031543483,0.3811329878373293,,,1
2015-02-19,1.6605190341726583,5.135063627444327,0.29894345726211635,5.3324305411436725,-6.850697357415569,,,1
2015-02-20,1.444469055157871,4.901339530540206,0.2691190207932778,5.291814775215042,3.7421562817622878,,,1
2015-02-21,0.3092238871982289,4.675421623177405,0.039311647566409855,5.085744541212923,4.470438465027904,,,1
2015-02-22,-3.561998071591699,4.443445332942932,-0.8298568240228564,4.891084174666202,-3.183422454335627,,,1
2015-02-23,1.2277195944320418,4.3909934576150045,0.2510352713910107,4.709252714343975,1.0799334993691012,,,1
2015-02-24,-0.0657407084102779,4.190660487955725,-0.045617169198795875,4.520372086446255,-0.646326243213835,,,1
