Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml,price,sma_50,trend_dist,return,trend_strength,signal,realized_vol,dynamic_target,position
2015-01-06,4.17958802770686,7.220639122347123,0.5614646831516084,7.356156443424116,-9.353322724112443,,,1,,1.0,2.0,286.1889953613281,,,0.0417958802770686,,-1,,0.01,0.0
2015-01-07,2.80729729527458,6.968512031591234,0.3848516171588019,7.269462365130417,-6.794887357406765,,,1,-0.2521270907558888,1.0,2.0,294.3370056152344,,,0.0280729729527458,,-1,,0.01,0.0
2015-01-08,-3.804603850823263,6.662256139602407,-0.5898989680369641,7.199026989297477,0.8032905642347821,,,1,-0.30625589198882697,1.0,2.0,283.3489990234375,,,-0.038046038508232634,,-1,,0.01,0.0
2015-01-09,2.4607444672523293,6.443648485337698,0.3624173947166854,6.961905658420538,9.459930005611472,,,1,-0.21860765426470952,1.0,2.0,290.4079895019531,,,0.024607444672523293,,-1,,0.01,0.0
2015-01-10,-5.525782685593139,6.156674081384717,-0.9179041770956028,6.690345972052636,0.1172432538173673,,,1,-0.28697440395298024,1.0,2.0,274.7959899902344,,,-0.05525782685593139,,-1,,0.01,0.0
2015-01-11,-3.3811658286022173,6.120464216643053,-0.5729336656838835,6.470310990911822,-7.44351060249171,,,1,-0.03620986474166443,1.0,2.0,265.6600036621094,,,-0.03381165828602217,,-1,,0.01,0.0
2015-01-12,0.800814975810038,5.915484685970311,0.1141682957417941,6.259705521787637,-9.449992921956252,,,1,-0.204979530672742,1.0,2.0,267.7959899902344,,,0.00800814975810038,,-1,,0.01,0.0
2015-01-13,-17.03057269491355,5.615889844592969,-3.054908009308205,6.050432262785749,-22.675961766046537,,,1,-0.29959484137734194,1.0,2.0,225.86099243164065,,,-0.17030572694913548,,-1,,0.01,0.0
2015-01-14,-23.755771549530547,7.707912752534285,-3.0982740058136704,6.303285116225067,-48.89247778282942,,,1,2.092022907941316,1.0,2.0,178.10299682617188,,,-0.23755771549530547,,-1,,0.01,0.0
2015-01-15,16.400235279402953,10.650264542173456,1.528110503192773,7.202003208382815,-26.96645981783332,,,1,2.9423517896391713,1.0,2.0,209.843994140625,,,0.16400235279402953,,-1,,0.01,0.0
2015-01-16,-0.83600518607998,11.382846244238676,-0.0844656368166915,8.254479613901939,-24.421299175311084,,,1,0.7325817020652199,1.0,2.0,208.0970001220703,,,-0.0083600518607998,,-1,,0.01,0.0
2015-01-17,-4.339384068730556,10.779545956313603,-0.4141953898198853,9.227291867970598,-29.56149821985168,,,1,-0.6033002879250731,1.0,2.0,199.25999450683597,,,-0.04339384068730556,,-1,,0.01,0.0
2015-01-18,5.411005929718193,10.307274410844142,0.5127981994377885,10.16556878122083,-7.119919595219937,,,1,-0.4722715454694608,1.0,2.0,210.3390045166016,,,0.054110059297181934,,-1,,0.01,0.0
2015-01-19,2.1270735850477784,9.90826366681508,0.2020151543832558,10.605638964076991,18.76292553935839,,,1,-0.3990107440290629,1.0,2.0,214.86099243164065,,,0.021270735850477784,,-1,,0.01,0.0
2015-01-20,-1.664134942574513,9.40403624275376,-0.190300108071106,10.356393304193052,0.6985553173809222,,,1,-0.5042274240613196,1.0,2.0,211.31500244140625,,,-0.01664134942574513,,-1,,0.01,0.0
2015-01-21,7.114626123199219,8.924093549622013,0.7831800410439586,9.864642765269718,8.649186626660121,,,1,-0.479942693131747,1.0,2.0,226.89700317382807,,,0.07114626123199219,,-1,,0.01,0.0
2015-01-22,2.828326756390531,8.750965716555397,0.3088656353150844,9.45892671731808,15.816897451781209,,,1,-0.17312783306661572,1.0,2.0,233.406005859375,,,0.028283267563905312,,-1,,0.01,0.0
2015-01-23,-0.2260455630802127,8.334538743827535,-0.0421738676380447,9.064379583914755,10.179845958982805,,,1,-0.4164269727278622,1.0,2.0,232.8789978027344,,,-0.002260455630802127,,-1,,0.01,0.0
2015-01-24,6.229262485473264,7.895733070983216,0.7730515026120383,8.661873464748385,14.282034859408288,,,1,-0.43880567284431926,1.0,2.0,247.8470001220703,,,0.06229262485473264,,-1,,0.01,0.0
2015-01-25,2.341180238004448,7.738452768021239,0.28632675467565,8.32875676980188,18.28735003998725,,,1,-0.15728030296197648,1.0,2.0,253.71800231933597,,,0.02341180238004448,-0.003931655603323892,-1,,0.01,0.0
2015-01-26,7.497944406522539,7.367190420823412,1.0007193807503634,8.01737614404216,18.67066832331057,,,1,-0.3712623471978276,1.0,2.0,273.4729919433594,,,0.07497944406522539,-0.002272477413916052,-1,,0.01,0.0
2015-01-27,-3.724435725045616,7.38024504332521,-0.5216479768857583,7.743232009396124,12.11790584187442,,,1,0.013054622501798008,1.0,2.0,263.4750061035156,,,-0.03724435725045616,-0.00553834392407615,-1,,0.01,0.0
2015-01-28,-11.900073718364457,7.104569223052244,-1.692647015116873,7.497238105241064,0.4438776865901772,,,1,-0.27567582027296567,1.0,2.0,233.9149932861328,,,-0.11900073718364457,-0.009586078857846746,-1,,0.01,0.0
2015-01-29,-0.1720020633391605,7.7832026733796145,-0.0382177166068996,7.474732025720344,-5.957386862222247,,,1,0.6786334503273705,1.0,2.0,233.51300048828125,,,-0.0017200206333916048,-0.010902452123142493,-1,0.08266581098288328,0.01,0.0
2015-01-30,-3.0823974429389445,7.374885210520906,-0.4349697008285355,7.402018514220278,-11.38096454316564,,,1,-0.40831746285870807,1.0,2.0,226.4250030517578,,,-0.030823974429389445,-0.009680759501815395,-1,0.08213961090576505,0.01,0.0
2015-01-31,-4.038043738172892,7.065882792610815,-0.5892395941315384,7.3417569885777585,-22.91695268786107,,,1,-0.309002417910091,1.0,2.0,217.4640045166016,,,-0.04038043738172892,-0.010009198456600732,-1,0.08195706754950982,0.01,0.0
2015-02-01,4.279332203631991,6.832048221202318,0.6079989336162587,7.232117624153179,-14.913184759183462,,,1,-0.23383457140849728,1.0,2.0,226.9720001220703,,,0.042793322036319914,-0.008269939842689755,-1,0.0825255417897781,0.01,0.0
2015-02-02,4.840574994570179,6.615214117432283,0.7127691923710919,7.134246603029188,1.8274639537511737,,,1,-0.21683410377003476,1.0,2.0,238.22900390625,,,0.04840574994570179,0.0026656340020521085,-1,0.08309100945051538,0.01,0.0
2015-02-03,-4.710245086441045,6.455768190200034,-0.7490509440081575,6.868759706393272,-2.7107790693507106,,,1,-0.15944592723224904,1.0,2.0,227.26800537109372,,,-0.04710245086441045,0.012188397233596859,-1,0.08290689053010321,0.01,0.0
2015-02-04,-0.1827744845303236,6.319316961204584,-0.0487756283074135,6.657646056530007,0.1888438890579102,,,1,-0.13645122899545026,1.0,2.0,226.85299682617188,,,-0.0018277448453032361,0.0038968923516302214,-1,0.08272934888943295,0.01,0.0
2015-02-05,-4.389350799334935,5.9933614565277,-0.7533009652110565,6.443141789313384,-0.1624631721041325,,,1,-0.32595550467688383,1.0,2.0,217.11099243164065,,,-0.04389350799334935,0.0021202195450027435,-1,0.08300932449612648,0.01,0.0
