Date,decision,regime,volatility,vol_trend_5,ret_5d
2015-01-07,MANTENER,2,6.968143788168187,7.269739200358839,-6.794887357406765
2015-01-08,MANTENER,2,6.661596511285954,7.198984186140464,0.8032905642347821
2015-01-09,MANTENER,2,6.442892915828203,6.9616168565465895,9.459930005611472
2015-01-10,MANTENER,2,6.155615054609398,6.689777400306968,0.1172432538173673
2015-01-11,MANTENER,2,6.119319935963529,6.469513641171055,-7.44351060249171
2015-01-12,MANTENER,2,5.914233495146437,6.258731582566704,-9.449992921956252
2015-01-13,MANTENER,2,5.614384932866187,6.049289266882751,-22.675961766046537
2015-01-14,MANTENER,2,7.706172024464764,6.301945088610063,-48.89247778282942
2015-01-15,MANTENER,2,10.648098427621116,7.200441763212408,-26.96645981783332
2015-01-16,MANTENER,2,11.38011800224696,8.252601376469093,-24.421299175311084
2015-01-17,MANTENER,2,10.777070133625196,9.225168704164844,-29.56149821985168
2015-01-18,MANTENER,2,10.30505600845478,10.163302919282565,-7.119919595219937
2015-01-19,MANTENER,2,9.906028717402542,10.60327425787012,18.76292553935839
2015-01-20,MANTENER,2,9.401875056421565,10.354029583630208,0.6985553173809222
2015-01-21,MANTENER,2,8.922067826520008,9.86241954848482,8.649186626660121
2015-01-22,MANTENER,2,8.748733179460823,9.456752157651945,15.816897451781209
2015-01-23,MANTENER,2,8.33227998693841,9.06219695334867,10.179845958982805
2015-01-24,MANTENER,2,7.893517326035682,8.659694675075297,14.282034859408288
2015-01-25,MANTENER,2,7.736001417742992,8.326519947339584,18.28735003998725
2015-01-26,MANTENER,2,7.36466624995494,8.015039632026568,18.67066832331057
2015-01-27,MANTENER,2,7.377409665458899,7.740774929226184,12.11790584187442
2015-01-28,MANTENER,2,7.1018404848219925,7.4946870288029,0.4438776865901772
2015-01-29,MANTENER,2,7.780660491294657,7.472115661854696,-5.957386862222247
2015-01-30,MANTENER,2,7.37236219078004,7.399387816462105,-11.38096454316564
2015-01-31,MANTENER,2,7.063429216674256,7.339140409805968,-22.91695268786107
2015-02-01,MANTENER,2,6.829663027643047,7.2295910822427984,-14.913184759183462
2015-02-02,MANTENER,2,6.612593331842246,7.131741651646848,1.8274639537511737
2015-02-03,MANTENER,2,6.452885439375288,6.866186641262975,-2.7107790693507106
2015-02-04,MANTENER,2,6.316520612049694,6.655018325516906,0.1888438890579102
2015-02-05,MANTENER,2,5.990479462271937,6.440428374636442,-0.1624631721041325
2015-02-06,MANTENER,2,5.868080092399622,6.248111787587757,-2.095177048166441
2015-02-07,MANTENER,2,5.612987014556778,6.048190524130663,-4.49663228835604
2015-02-08,MANTENER,2,5.378610357580135,5.833335507771634,-1.7112349499342372
2015-02-09,MANTENER,2,5.1483512705856285,5.599701639478821,-3.0174792462647204
2015-02-10,MANTENER,2,4.916142568170733,5.38483426065858,1.2486772169695293
2015-02-11,MANTENER,2,4.670000956503418,5.1452184334793385,-1.3958780975069196
2015-02-12,MANTENER,2,4.439627942211351,4.910546619010253,-2.665230197086199
2015-02-13,MANTENER,2,4.234147171380277,4.681653981770282,5.238328295508232
2015-02-14,MANTENER,2,4.452464315088421,4.54247659067084,15.619696455794596
2015-02-15,MANTENER,2,5.099599423363845,4.579167961709462,6.594506207875295
2015-02-16,MANTENER,2,5.701555353730016,4.785478841154782,6.473384898714674
2015-02-17,MANTENER,2,5.412467404104126,4.980046733533337,9.395480091685204
2015-02-18,MANTENER,2,5.295637877532979,5.192344874763878,0.3811329878373293
2015-02-19,MANTENER,2,5.130619362151902,5.327975884176573,-6.850697357415569
2015-02-20,MANTENER,2,4.896694815179035,5.287394962539612,3.742156281762288
2015-02-21,MANTENER,2,4.6705641410153405,5.081196719996677,4.470438465027904
2015-02-22,MANTENER,2,4.438401248368072,4.886383488849465,-3.183422454335627
2015-02-23,MANTENER,2,4.386059254846289,4.704467764312128,1.0799334993691012
2015-02-24,MANTENER,2,4.185461244608956,4.515436140803539,-0.646326243213835
2015-02-25,MANTENER,2,3.9819864417861104,4.332494466124953,-2.622080085515765
2015-02-26,MANTENER,1,3.7962013741746734,4.15762191275682,-3.3719103695762698
2015-02-27,MANTENER,1,3.6202954668185447,3.994000756446914,7.292251996782184
2015-02-28,MANTENER,2,4.126522086656607,3.942093322808978,6.23576065160032
2015-03-01,MANTENER,2,3.926088491344257,3.890218772156039,8.610408377469358
2015-03-02,MANTENER,1,3.8040788441830578,3.854637252635428,14.916324204319054
2015-03-03,MANTENER,2,4.060098074866315,3.907416592773756,17.52145189968255
2015-03-04,MANTENER,2,3.919743987933363,3.96730629699672,7.315188936666583
2015-03-05,MANTENER,2,3.876244420282688,3.917250763721936,8.267645176618288
2015-03-06,MANTENER,1,3.704925920334304,3.8730182495199457,4.699836202771035
2015-03-07,MANTENER,1,3.55843026916828,3.82388853451699,0.2141474664397513
2015-03-08,MANTENER,1,3.4132118242497205,3.694511284393671,-2.6430502322510208
2015-03-09,MANTENER,1,3.266963364698229,3.5639551597466443,5.87160397511397
2015-03-10,MANTENER,1,3.559119239769955,3.500530123644098,5.488596188696437
2015-03-11,MANTENER,1,3.3988159260474755,3.439308124786732,8.318243477479914
2015-03-12,MANTENER,1,3.276244710384721,3.3828710130300204,6.343711636225269
2015-03-13,MANTENER,1,3.138803255835916,3.3279892993472595,3.9251699984807153
2015-03-14,MANTENER,1,3.177786832745481,3.310153992956709,-2.702559195394727
2015-03-15,MANTENER,1,3.066653731448108,3.211660891292341,-1.8566567770565527
2015-03-16,MANTENER,1,2.969377252220297,3.125773156526905,-1.9715415071099864
